物品
copper -铜
ammouse -弹药
damagemultiplier -伤害倍率
healthmultiplier -生命值倍率
speedmultiplier -移动速度倍率
reloadmultiplier -开火速率倍率
buildspeedmultiplier -建造速度倍率
reactive -反应
healing -治疗


copper -铜
lead -铅
metaglass -钢化玻璃
graphite -石墨
sand -沙
coal -煤炭
titanium -钛
thorium -钍
scrap -废料
silicon -硅
plastanium -塑钢
phase-fabric -相位物
surge-alloy -巨浪合金
spore-pod -孢子荚
blast-compound -爆炸混合物
pyratite -硫

"scaleLife": true,/合适位置爆炸
tungsten 钨
carbide  碳
adamantium 精金
ceramite    陶钢
refine-ceramite  精炼陶钢
sealed-promethium   封装钷能
titanium-steel    钛钢/速建钢
vibranium        振金
ore-promethium  原钷
refine-promethium高能钷素
